County,Election District,Election Precinct,Cong,Legs,Candidate Name,Party,Office Name,Office District,Winner,Election Night Votes
16,1,3,6,39,Dave Kunes,DEM,DEM Cent Comm Male At Large,,Y,74
16,1,3,6,39,Erwin David Rose,DEM,DEM Cent Comm Male At Large,,Y,79
16,1,3,6,39,Gabriel Sorrel,DEM,DEM Cent Comm Male At Large,,,113
16,1,3,6,39,Suzi Williams Kaplan,DEM,DEM Cent Comm Female,39,Y,214
16,1,3,6,39,Chibuzor M. Nwosu,DEM,DEM Cent Comm Female,39,,107
16,1,3,6,39,Mumin Barre,DEM,DEM Cent Comm Male,39,Y,306
16,1,4,6,39,"Rushern L. Baker, III",DEM,Governor / Lt. Governor,,,54
16,1,4,6,39,Ralph Jaffe,DEM,Governor / Lt. Governor,,,4
16,1,4,6,39,Ben Jealous,DEM,Governor / Lt. Governor,,Y,79
16,1,4,6,39,"James Hugh Jones, II",DEM,Governor / Lt. Governor,,,8
16,1,4,6,39,Valerie Ervin,DEM,Governor / Lt. Governor,,,7
16,1,4,6,39,Rich Madaleno,DEM,Governor / Lt. Governor,,,16
16,1,4,6,39,Alec Ross,DEM,Governor / Lt. Governor,,,13
16,1,4,6,39,Jim Shea,DEM,Governor / Lt. Governor,,,7
16,1,4,6,39,Krish O'Mara Vignarajah,DEM,Governor / Lt. Governor,,,26
16,1,4,6,39,Peter Franchot,DEM,Comptroller            ,,Y,182
16,1,4,6,39,Brian E. Frosh,DEM,Attorney General       ,,Y,176
16,1,4,6,39,Ben Cardin,DEM,U.S. Senator           ,,Y,139
16,1,4,6,39,Erik Jetmir,DEM,U.S. Senator           ,,,6
16,1,4,6,39,Chelsea Manning,DEM,U.S. Senator           ,,,19
16,1,4,6,39,Marcia H. Morgan,DEM,U.S. Senator           ,,,13
16,1,4,6,39,Jerome Jerry Segal,DEM,U.S. Senator           ,,,11
16,1,4,6,39,Richard Rikki Vaughn,DEM,U.S. Senator           ,,,3
16,1,4,6,39,Debbie Rica Wilson,DEM,U.S. Senator           ,,,17
16,1,4,6,39,Lih Young,DEM,U.S. Senator           ,,,7
16,1,4,6,39,Andrew Duck,DEM,Representative in Congress,6,,10
16,1,4,6,39,George English,DEM,Representative in Congress,6,,4
16,1,4,6,39,Chris Graves,DEM,Representative in Congress,6,,7
16,1,4,6,39,Nadia Hashimi,DEM,Representative in Congress,6,,40
16,1,4,6,39,Christopher Hearsey,DEM,Representative in Congress,6,,2
16,1,4,6,39,Roger Manno,DEM,Representative in Congress,6,,18
16,1,4,6,39,Aruna Miller,DEM,Representative in Congress,6,,38
16,1,4,6,39,David Trone,DEM,Representative in Congress,6,Y,97
16,1,4,6,39,Nancy J. King,DEM,State Senator          ,39,Y,192
16,1,4,6,39,Gabriel Acevero,DEM,House of Delegates     ,39,Y,118
16,1,4,6,39,Bobby Bartlett,DEM,House of Delegates     ,39,,47
16,1,4,6,39,Andy Hoverman,DEM,House of Delegates     ,39,,31
16,1,4,6,39,Lesley J. Lopez,DEM,House of Delegates     ,39,Y,115
16,1,4,6,39,Kirill Reznik,DEM,House of Delegates     ,39,Y,97
16,1,4,6,39,Shane Robinson,DEM,House of Delegates     ,39,,85
16,1,4,6,39,Clint Sobratti,DEM,House of Delegates     ,39,,18
16,1,4,6,39,Roger Berliner,DEM,County Executive       ,,,9
16,1,4,6,39,David Blair,DEM,County Executive       ,,,80
16,1,4,6,39,Marc Elrich,DEM,County Executive       ,,Y,67
16,1,4,6,39,Bill Frick,DEM,County Executive       ,,,6
16,1,4,6,39,Rose Krasnow,DEM,County Executive       ,,,34
16,1,4,6,39,George L. Leventhal,DEM,County Executive       ,,,21
16,1,4,6,39,Gabe Albornoz,DEM,County Council At Large,,Y,44
16,1,4,6,39,Rosemary O. Arkoian,DEM,County Council At Large,,,11
16,1,4,6,39,Marilyn Balcombe,DEM,County Council At Large,,,32
16,1,4,6,39,Charles Barkley,DEM,County Council At Large,,,47
16,1,4,6,39,Shruti Bhatnagar,DEM,County Council At Large,,,19
16,1,4,6,39,Cherri L. Branson,DEM,County Council At Large,,,18
16,1,4,6,39,Brandy H. M. Brooks,DEM,County Council At Large,,,44
16,1,4,6,39,Craig Carozza-Caviness,DEM,County Council At Large,,,4
16,1,4,6,39,Ron Colbert,DEM,County Council At Large,,,6
16,1,4,6,39,Bill Conway,DEM,County Council At Large,,,23
16,1,4,6,39,Hoan Dang,DEM,County Council At Large,,,26
