OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
33,46,1,45,0,1101483.66,4585.665127,227,8,16,1,3,7,31-Jul,7031,7,31,4585.664613,186,PRIVATE,07-31 The Promenade Party Room,207,1282068.14,491111.4632,31-Jul,The Promenade Party Room, 5225 Pooks Hill Rd Bethesda MD 20814,-77.10651778,39.01512907,BETHESDA MD 20814,5225 POOKS HILL RD,-77.10651778,4585.664613,1101483.537,39.01512907
34,47,1,46,0,24091993.42,32124.32884,226,8,16,1,3,7,28-Jul,7028,7,28,32124.32896,18,ELEMENTARY SCHOOLS,07-28 Bradley Hills ES,75,1278780.875,485490.7813,28-Jul,Bradley Hills ES, 8701 Hartsdale Ave Bethesda MD 20817,-77.11806165,38.9996853,Bethesda MD 20817,8701 Hartsdale Ave,-77.11806165,32124.32896,24091993.69,38.9996853
35,48,1,47,0,20645516.02,23326.70798,225,8,16,1,3,7,10-Jul,7010,7,10,23326.708,179,PRIVATE,07-10 St.Jane Frances de Chantal Ch,244,1279232.225,490434.824,10-Jul,St. Jane Frances de Chantal Catholic Church, 9601 Old Georgetown Rd Bethesda MD 20814,-77.11649568,39.01326172,BETHESDA MD 20814,9601 OLD GEORGETOWN RD,-77.11649568,23326.708,20645516.13,39.01326172
36,49,1,48,0,31498469.17,37523.99741,224,8,16,1,3,7,9-Jul,7009,7,9,37523.99814,159,CENTER,07-09 Lynbrook School Center,202,1287597.628,482599.0613,9-Jul,Lynbrook School Center, 8001 Lynbrook Dr Bethesda MD 20814,-77.0870283,38.9917727,BETHESDA MD 20814,8001 LYNBROOK DR,-77.0870283,37523.99814,31498469.55,38.9917727
37,24,1,23,0,15969992.49,28289.5315,249,8,20,5,4,13,13-21,13021,13,21,28289.53254,148,MIDDLE SCHOOLS,13-21 Takoma Park MS,230,1308615,480277.2813,13-21,Takoma Park MS, 7611 Piney Branch Rd Silver Spring MD 20910,-77.01308115,38.98542941,SILVER SPRING MD 20910,7611 PINEY BRANCH RD,-77.01308115,28289.53254,15969992.16,38.98542941
38,25,1,24,0,17663810.52,22431.23781,248,8,18,1,3,7,Jul-32,7032,7,32,22431.23856,187,PRIVATE,07-32 Chevy Chase Library,208,1290554.794,482357.5843,Jul-32,Chevy Chase Library, 8005 Connecticut Ave Chevy Chase MD 20815,-77.07662332,38.99111695,CHEVY CHASE MD 20815,8005 CONNECTICUT AVE,-77.07662332,22431.23856,17663810.59,38.99111695
39,27,1,26,0,17172285.62,19931.3516,246,8,16,1,3,7,12-Jul,7012,7,12,19931.3516,180,PRIVATE,07-12 Connie Morella Bethesda Library,203,1284209.719,479501.074,12-Jul,Connie Morella Bethesda Library, 7400 Arlington Rd Bethesda MD 20814,-77.09893625,38.98325706,BETHESDA MD 20814,7400 ARLINGTON RD,-77.09893625,19931.3516,17172285.74,38.98325706
40,28,1,27,0,15026925.9,19039.27503,245,8,20,5,4,13,13-22,13022,13,22,19039.27582,153,ELEMENTARY SCHOOLS,13-22 Rolling Terrace ES,135,1313111.75,483823.9063,13-22,Rolling Terrace ES, 705 Bayfield St Takoma Park MD 20912,-76.99726115,38.9951681,Takoma Park MD 20912,705 Bayfield St,-76.99726115,19039.27582,15026926.09,38.9951681
41,29,1,28,0,2803895.044,9949.929023,244,8,20,5,3,13,13-65,13065,13,65,9949.929384,221,PRIVATE,13-65 Gwendolyn E. Coffield Rec Ctr,163,1297873.628,485095.0231,13-65,Gwendolyn E. Coffield Rec Ctr, 2450 Lyttonsville Rd Silver Spring MD 20910,-77.05087888,38.99864717,Silver Spring MD 20910,2450 Lyttonsville Rd,-77.05087888,9949.929384,2803895.09,38.99864717
42,30,1,29,0,10807733.52,14638.77894,243,8,18,5,3,13,13-16,13016,13,16,14638.77938,150,ELEMENTARY SCHOOLS,13-16 Rosemary Hills ES,133,1299501.75,486071.5001,13-16,Rosemary Hills ES, 2111 Porter Rd Silver Spring MD 20910,-77.04515176,39.00133064,Silver Spring MD 20910,2111 Porter Rd,-77.04515176,14638.77938,10807733.42,39.00133064
43,31,1,30,0,15158917,21042.25511,228,8,20,5,5,5,14-May,5014,5,14,1642.096895,130,ELEMENTARY SCHOOLS,05-14 JoAnn LeLeck ES,154,1316542.125,488992.8125,14-May,JoAnn LeLeck at Broad Acres ES, 710 Beacon Rd Silver Spring MD 20903,-76.98518844,39.00935945,Silver Spring MD 20903,710 Beacon Rd,-76.98518844,1642.096895,30985.39596,39.00935945
